3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-03,GV.RM-03: Enterprise risk management processes include cybersecurity risk management activities and outcomes (formerly ID.GV-04)
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-04,GV.RM-04: Strategic direction that describes appropriate risk response options is established and communicated
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-05,"GV.RM-05: Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-06,"GV.RM-06: A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Risk Management Strategy (GV.RM): The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions (formerly ID.RM)",GV.RM-07,"GV.RM-07: Strategic opportunities (i.e., positive risks) are identified and included in organizational cybersecurity risk discussions"
2,GOVERN,Cybersecurity Supply Chain Risk Management,GV.SC,
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-01,"GV.SC-01: A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders (formerly ID.SC-01)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-02,"GV.SC-02: Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally (formerly ID.AM-06)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-03,"GV.SC-03: Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes (formerly ID.SC-02)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-04,GV.SC-04: Suppliers are known and prioritized by criticality
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-05,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties (formerly ID.SC-03)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-06,GV.SC-06: Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-07,"GV.SC-07: The risks posed by a supplier, their products and services, and other third parties are identified, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship (formerly ID.SC-02, ID.SC-04)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-08,"GV.SC-08: Relevant suppliers and other third parties are included in incident planning, response, and recovery activities (formerly ID.SC-05)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-09,"GV.SC-09: Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Cybersecurity Supply Chain Risk Management (GV.SC): Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders (formerly ID.SC)",GV.SC-10,GV.SC-10: Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement
2,GOVERN,"Roles, Responsibilities, and Authorities",GV.RR,
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated (formerly ID.GV-02)",GV.RR-01,"GV.RR-01: Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated (formerly ID.GV-02)",GV.RR-02,"GV.RR-02: Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced (formerly ID.AM-06, ID.GV-02, DE.DP-01)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated (formerly ID.GV-02)",GV.RR-03,"GV.RR-03: Adequate resources are allocated commensurate with cybersecurity risk strategy, roles and responsibilities, and policies"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Roles, Responsibilities, and Authorities (GV.RR): Cybersecurity roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated (formerly ID.GV-02)",GV.RR-04,GV.RR-04: Cybersecurity is included in human resources practices (formerly PR.IP-11)
2,GOVERN,"Policies, Processes, and Procedures",GV.PO,
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Policies, Processes, and Procedures (GV.PO): Organizational cybersecurity policies, processes, and procedures are established, communicated, and enforced (formerly ID.GV-01)",GV.PO-01,"GV.PO-01: Policies, processes, and procedures for managing cybersecurity risks are established based on organizational context, cybersecurity strategy, and priorities and are communicated and enforced (formerly ID.GV-01)"
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Policies, Processes, and Procedures (GV.PO): Organizational cybersecurity policies, processes, and procedures are established, communicated, and enforced (formerly ID.GV-01)",GV.PO-02,"GV.PO-02: Policies, processes, and procedures for managing cybersecurity risks are reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission (formerly ID.GV-01)"
2,GOVERN,Oversight,GV.OV,
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Oversight (GV.OV): Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-01,GV.OV-01: Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Oversight (GV.OV): Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-02,GV.OV-02: The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks
3,"GOVERN (GV): Establish and monitor the organization's cybersecurity risk management strategy, expectations, and policy","Oversight (GV.OV): Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy",GV.OV-03,GV.OV-03: Organizational cybersecurity risk management performance is measured and reviewed to confirm and adjust strategic direction
1,2-IDENTIFY,,ID,
2,IDENTIFY,Asset Management,ID.AM,
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-01,ID.AM-01: Inventories of hardware managed by the organization are maintained
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-02,"ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-03,"ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained (formerly ID.AM-03, DE.AE-01)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-04,ID.AM-04: Inventories of services provided by suppliers are maintained
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-05,"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-07,ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Asset Management (ID.AM): Assets (e.g., data, hardware software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID.AM-08,"ID.AM-08: Systems, hardware, software, and services are managed throughout their life cycle (formerly PR.DS-03, PR.IP-02, PR.MA-01, PR.MA-02)"
2,IDENTIFY,Business Environment,ID.BE,
2,IDENTIFY,Governance,ID.GV,
2,IDENTIFY,Risk Assessment,ID.RA,
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-01,"ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded (formerly ID.RA-01, PR.IP-12, DE.CM-08)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-02,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-03,ID.RA-03: Internal and external threats to the organization are identified and recorded
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-04,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-05,"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk and inform risk prioritization"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-06,"ID.RA-06: Risk responses are chosen from the available options, prioritized, planned, tracked, and communicated (formerly ID.RA-06, RS.MI-03)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-07,"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked (formerly part of PR.IP-03)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-08,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established (formerly RS.AN-05)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to the organization, assets, and individuals.",ID.RA-09,ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use (formerly PR.DS-08)
2,IDENTIFY,Risk Management Strategy,ID.RM,
2,IDENTIFY,Supply Chain Risk Management,ID.SC,
2,IDENTIFY,Improvement,ID.IM,
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Improvement (ID.IM): Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all Framework Functions",ID.IM-01,ID.IM-01: Continuous evaluation is applied to identify improvements
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Improvement (ID.IM): Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all Framework Functions",ID.IM-02,"ID.IM-02: Security tests and exercises, including those done in coordination with suppliers and relevant third parties, are conducted to identify improvements (formerly ID.SC-05, PR.IP-10, DE.DP-03)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Improvement (ID.IM): Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all Framework Functions",ID.IM-03,"ID.IM-03: Lessons learned during execution of operational processes, procedures, and activities are used to identify improvements (formerly PR.IP-07, PR.IP-08, DE.DP-05, RS.IM-01, RS.IM-02, RC.IM-01, RC.IM-02)"
3,IDENTIFY (ID): Help determine the current cybersecurity risk to the organization,"Improvement (ID.IM): Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all Framework Functions",ID.IM-04,"ID.IM-04: Cybersecurity plans that affect operations are communicated, maintained, and improved (formerly PR.IP-09)"
1,3-PROTECT,,PR,
2,PROTECT,"Identity Management, Authentication, and Access Control",PR.AA,
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware, and is managed commensurate with the assessed risk of unauthorized access (formerly PR.AC)",PR.AA-01,"PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization (formerly PR.AC-01)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware, and is managed commensurate with the assessed risk of unauthorized access (formerly PR.AC)",PR.AA-02,PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions (formerly PR.AC-06)
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware, and is managed commensurate with the assessed risk of unauthorized access (formerly PR.AC)",PR.AA-03,"PR.AA-03: Users, services, and hardware are authenticated (formerly PR.AC-03, PR.AC-07)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware, and is managed commensurate with the assessed risk of unauthorized access (formerly PR.AC)",PR.AA-04,"PR.AA-04: Identity assertions are protected, conveyed, and verified"
3, ,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware, and is managed commensurate with the assessed risk of unauthorized access (formerly PR.AC)",PR.AA-05,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties (formerly PR.AC-01, PR.AC-03, PR.AC-04)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware, and is managed commensurate with the assessed risk of unauthorized access (formerly PR.AC)",PR.AA-06,"PR.AA-06: Physical access to assets is managed, monitored, and enforced commensurate with risk (formerly PR.AC-02, PR.PT-04)"
2,PROTECT,"Identity Management, Authentication and Access Control",PR.AC,
2,PROTECT,Awareness and Training,PR.AT,
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,Awareness and Training (PR.AT): The organization's personnel are provided cybersecurity awareness and training so they can perform their cybersecurity-related tasks,PR.AT-01,"PR.AT-01: Users are provided awareness and training so they possess the knowledge and skills to perform general tasks with security risks in mind (formerly PR.AT-01, PR.AT-03, RS.CO-01)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,Awareness and Training (PR.AT): The organization's personnel are provided cybersecurity awareness and training so they can perform their cybersecurity-related tasks,PR.AT-02,"PR.AT-02: Individuals in specialized roles are provided awareness and training so they possess the knowledge and skills to perform relevant tasks with security risks in mind (formerly PR.AT-02, PR.AT-03, PR.AT-04, PR.AT-05)"
2,PROTECT,Data Security,PR.DS,
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Data Security (PR.DS): Data is managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PR.DS-01,"PR.DS-01: The confidentiality, integrity, and availability of data-at-rest are protected (formerly PR.DS-01, PR-DS.05, PR.DS-06, PR.PT-02)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Data Security (PR.DS): Data is managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PR.DS-02,"PR.DS-02: The confidentiality, integrity, and availability of data-in-transit are protected (formerly PR.DS-02, PR.DS-05)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Data Security (PR.DS): Data is managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PR.DS-09,"PR.DS-09: Data is managed throughout its life cycle, including destruction (formerly PR.IP-06)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Data Security (PR.DS): Data is managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PR.DS-10,"PR.DS-10: The confidentiality, integrity, and availability of data-in-use are protected (formerly PR.DS-05)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Data Security (PR.DS): Data is managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PR.DS-11,"PR.DS-11: Backups of data are created, protected, maintained, and tested (formerly PR.IP-04)"
2,PROTECT,Information Protection Processes and Procedures,PR.IP,
2,PROTECT,Maintenance,PR.MA,
2,PROTECT,Protective Technology,PR.PT,
2,PROTECT,Platform Security,PR.PS,
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-01,"PR.PS-01: Configuration management practices are applied (formerly PR.IP-01, PR.IP-03, PR.PT-02, PR.PT-03)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-02,"PR.PS-02: Software is maintained, replaced, and removed commensurate with risk (formerly PR.IP-12, PR.MA-02)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-03,"PR.PS-03: Hardware is maintained, replaced, and removed commensurate with risk (formerly PR.MA-01)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-04,PR.PS-04: Log records are generated and made available for continuous monitoring (formerly PR.PT-01)
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-05,PR.PS-05: Installation and execution of unauthorized software are prevented
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Platform Security (PR.PS): The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR.PS-06,PR.PS-06: Secure software development practices are integrated and their performance is monitored throughout the software development life cycle
2,PROTECT,Technology Infrastructure Resilience,PR.IR,
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Technology Infrastructure Resilience (PR.IR): Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PR.IR-01,"PR.IR-01: Networks and environments are protected from unauthorized logical access and usage (formerly PR.AC-03, PR.AC-05, PR.DS-07, PR.PT-04)"
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Technology Infrastructure Resilience (PR.IR): Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PR.IR-02,PR.IR-02: The organization's technology assets are protected from environmental threats (formerly PR.IP-05)
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Technology Infrastructure Resilience (PR.IR): Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PR.IR-03,PR.IR-03: Mechanisms are implemented to achieve resilience requirements in normal and adverse situations (formerly PR.PT-05)
3,PROTECT (PR): Use safeguards to prevent or reduce cybersecurity risk,"Technology Infrastructure Resilience (PR.IR): Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PR.IR-04,PR.IR-04: Adequate resource capacity to ensure availability is maintained (formerly PR.DS-04)
1,4-DETECT,,DE,
2,DETECT,Continuous Monitoring,DE.CM,
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-01,"DE.CM-01: Networks and network services are monitored to find potentially adverse events (formerly DE.CM-01, DE.CM-04, DE.CM-05, DE.CM-07)"
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-02,DE.CM-02: The physical environment is monitored to find potentially adverse events
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-03,"DE.CM-03: Personnel activity and technology usage are monitored to find potentially adverse events (formerly DE.CM-03, DE.CM-07)"
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-06,"DE.CM-06: External service provider activities and services are monitored to find potentially adverse events (formerly DE.CM-06, DE.CM-07)"
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Continuous Monitoring (DE.CM): Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE.CM-09,"DE.CM-09: Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events (formerly PR.DS-06, PR.DS-08, DE.CM-04, DE.CM-05, DE.CM-07)"
2,DETECT,Adverse Event Analysis,DE.AE,
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents (formerly DE.AE, DE.DP-02)",DE.AE-02,DE.AE-02: Potentially adverse events are analyzed to better understand associated activities
