Status,#,Category,Criteria,Control Activities Specified by the Service Organization,Tests Applied by the Service Auditor,Changes
,,,,,Inspected the Board of Directors meeting minutes for a sample of quarters to determine that the Board of Directors met on a quarterly basis to discuss operational objectives and establish company direction.,
,14,Control Environment,CC1.2,Executive management evaluates the skills and expertise of its members annually. ,Inspected the completed performance evaluation form for a sample of executive management members to determine that executive management evaluated the skills and expertise of its members annually.,
,15,Control Environment,CC1.2,Executive management maintains independence from those that operate the key controls within the environment.,Inspected the organizational chart and internal controls matrix to determine that executive management maintained independence from those that operated the key controls within the environment.,
,16,Control Environment,CC1.2,Executive management meets annually with operational management to assess the effectiveness and performance of internal controls within the environment.,Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that executive management met annually with operational management to assess the effectiveness and performance of internal controls within the environment.,
,17,Control Environment,CC1.2,Executive management evaluates the skills and competencies of those that operate the internal controls within the environment annually.,Inspected the completed evaluation form for a sample of current employees to determine that executive management evaluated the skills and competencies of those that operate the internal controls within the environment annually.,
,18,Control Environment,CC1.2,Operational management assigns responsibility for and monitors the effectiveness and performance of internal controls implemented within the environment.,Inspected the internal controls matrix and the ISMS and PIMS Annual Management Review and the meeting invite to determine that operational management assigned responsibility for and monitored the effectiveness and performance of internal controls within the environment.,
,19,Control Environment,CC1.2,"Annually, a third party performs an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls is sufficient to mitigate risks to the achievement of business objectives.",Inquired of the GRC Team Contractor to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,,,,,Inspected the internal audit documentation to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,20,Control Environment,CC1.3,"A documented organizational chart is in place that defines organizational structures, lines of reporting, and areas of authority. ","Inspected the organizational chart to determine that a documented organizational chart was in place that defined organizational structures, lines of reporting, and areas of authority. ",
,21,Control Environment,CC1.3,"Executive management reviews the organizational chart annually and makes updates to the organizational structure and lines of reporting, if necessary.","Inspected the revision history of the organizational chart to determine that executive management reviewed the organizational chart annually and made updates to the organizational structure and lines of reporting, if necessary.",
,22,Control Environment,CC1.3,Roles and responsibilities are defined in written job descriptions and communicated to personnel through the entity's intranet.,Inspected the job description for a sample of job roles and the entity's intranet to determine that roles and responsibilities were defined in written job descriptions and communicated to personnel through the entity's intranet.,
,23,Control Environment,CC1.3,A Board of Directors is in place to maintain independence and provide oversight of company objectives.,Inquired of the GRC Team Contractor to determine that a Board of Directors was in place to maintain independence and provide oversight of company objectives.,
,,,,,Inspected the leadership profiles of the Board of Directors to determine that a Board of Directors was in place to maintain independence and provide oversight of company objectives.,
,24,Control Environment,CC1.3,"Executive management reviews job descriptions annually and makes updates, if necessary. ","Inspected the job description including the revision date for a sample of job roles to determine that executive management reviewed job descriptions annually and made updates, if necessary. ",
,25,Control Environment,CC1.3,Executive management has established proper segregations of duties for key job functions and roles within the organization.,"Inspected the organizational chart, internal controls matrix, and the job description for a sample of job roles to determine that executive management had established proper segregations of duties for key job functions and roles within the organization.",
,26,Control Environment,CC1.3,Roles and responsibilities defined in written job descriptions consider and address specific requirements relevant to the system.,Inspected the job description for a sample of job roles to determine that roles and responsibilities defined in written job descriptions considered and addressed specific requirements relevant to the system.,
,27,Control Environment,CC1.3,A vendor risk assessment is performed on an annual basis which includes reviewing the activities performed by third parties.,Inspected the vendor risk assessment policies and procedures to determine that a vendor risk assessment was performed on an annual basis which included reviewing the activities performed by third parties.,
,,,,,Inspected the completed vendor risk assessments to determine that a vendor risk assessment was performed on an annual basis which included reviewing the activities performed by third parties.,
,28,Control Environment,CC1.4,Policies and procedures are in place that outline the performance evaluation process as well as the competency and training requirements for personnel. ,Inspected the employee performance evaluation policies and procedures and training policies and procedures to determine that policies and procedures were in place that outlined the performance evaluation process as well as the competency and training requirements for personnel. ,
,29,Control Environment,CC1.4,The entity has a recruiting department that is responsible for attracting individuals with competencies and experience that align with the entity's goals and objectives.,Inspected the recruiting policies and procedures to determine that the entity had a recruiting department that was responsible for attracting individuals with competencies and experience that aligned with the entity's goals and objectives.,
,30,Control Environment,CC1.4,The entity evaluates the competencies and experience of candidates prior to hiring.,Inspected the candidate evaluation for a sample of new hires to determine that the entity evaluated the competencies and experience of candidates prior to hiring.,
,31,Control Environment,CC1.4,The entity evaluates the competencies and experience of third parties prior to working with them.,Inspected the third-party evaluation for a sample of third parties to determine that the entity evaluated the competencies and experience of third parties prior to working with them.,
,32,Control Environment,CC1.4,Job requirements are documented in the job descriptions and candidates' abilities to meet these requirements are evaluated as part of the hiring or transfer process. ,Inspected the job description for a sample of job roles and the candidate evaluation for a sample of new hires to determine that job requirements were documented in the job descriptions and candidates' abilities to meet these requirements were evaluated as part of the hiring or transfer process. ,
,33,Control Environment,CC1.4,"Upon hire, personnel are required to complete a background check.","Inspected the background check policies and procedures and the completed background check for a sample of new hires to determine that upon hire, personnel were required to complete a background check. ",
,,,,,Inspected the training completion certificate for a sample of current employees to determine that employees were required to attend continued training annually that relates to their job role and responsibilities.,
,34,Control Environment,CC1.4,Executive management has created a training program for its employees.,Inspected the information security awareness PowerPoint deck to determine that executive management had created a training program for its employees.,
At risk,35,Control Environment,CC1.4,Employees are required to complete security awareness training within 90 days of onboarding.,"Inquired of the GRC Team Contractor regarding onboarding activities to determine that within 90 days of onboarding, personnel were required to complete information security awareness training.","Technical changes made in Workday of training required within 60 days.
No policy update (still 90 days)."
,,,,,"Inspected the information security awareness training completion form for a sample of new hires to determine that within 90 days of onboarding, personnel were required to complete information security awareness training.",
,36,Control Environment,CC1.4,The entity assesses training needs on an annual basis.,Inspected the Compliance E-Learning Auto Enrollment & Maintenance policy to determine that the entity assessed training needs on an annual basis.,
,37,Control Environment,CC1.4,"As part of the entity's contingency plan for job roles and assignments important to the operations and performance of controls, the entity cross trains its personnel.","Inspected the information security awareness training PowerPoint deck to determine that as part of the entity's contingency plan for job roles and assignments important to the operations and performance of controls, the entity cross trained its personnel.",
,38,Control Environment,CC1.5,"A documented organizational chart is in place that defines organizational structures, lines of reporting, and areas of authority.","Inspected the organizational chart to determine that a documented organizational chart was in place that defined organizational structures, lines of reporting, and areas of authority.",
,39,Control Environment,CC1.5,Roles and responsibilities are defined in written job descriptions and communicated to personnel through the entity's intranet.,Inspected the job description for a sample of job roles and the entity's intranet to determine that roles and responsibilities were defined in written job descriptions and communicated to personnel through the entity's intranet.,
,40,Control Environment,CC1.5,"Upon hire, personnel are required to acknowledge the employee handbook and code of conduct.","Inspected the signed employee handbook and code of conduct acknowledgement for a sample of new hires to determine that upon hire, personnel were required to acknowledge the employee handbook and code of conduct.",
,41,Control Environment,CC1.5,Personnel are required to acknowledge the employee handbook and code of conduct on an annual basis.,Inspected the signed employee handbook and code of conduct acknowledgement for a sample of current employees to determine that personnel were required to acknowledge the employee handbook and code of conduct on an annual basis.,
,42,Control Environment,CC1.5,Policies and procedures are in place that outline the performance evaluation process as well as the competency and training requirements for personnel.,Inspected the employee performance evaluation policies and procedures and competency and training requirements policies and procedures to determine that policies and procedures were in place that outlined the performance evaluation process as well as the competency and training requirements for personnel. ,
,43,Control Environment,CC1.5,Performance and conduct evaluations are performed for personnel on an annual basis.,Inspected the completed performance and conduct evaluation form for a sample of current employees to determine that performance and conduct evaluations were performed for personnel on an annual basis.,
,44,Control Environment,CC1.5,"Executive management reviews the job requirements and responsibilities documented within job descriptions annually and makes updates, if necessary. ","Inspected the job description including the revision date for a sample of job roles to determine that executive management reviewed the job requirements and responsibilities documented within job descriptions annually and made updates, if necessary.",
,45,Control Environment,CC1.5,"Sanction policies, which include probation, suspension, and termination, are in place for employee misconduct.","Inspected the sanction policies within the employee handbook to determine that sanction policies, which included probation, suspension, and termination, were in place for employee misconduct.",
,46,Communication and Information,CC2.1,"Organizational and information security policies and procedures are documented and made available to personnel through the entity's intranet,",Inspected the organizational and information security policies and procedures and the entity's intranet to determine that organizational and information security policies and procedures were documented and made available to personnel through the entity's intranet.,
,47,Communication and Information,CC2.1,"Annually, a third party performs an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls is sufficient to mitigate risks to the achievement of business objectives.",Inquired of the GRC Team Contractor to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,,,,,Inspected the internal audit documentation to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
Update,48,Communication and Information,CC2.1,Edit checks are in place to prevent incomplete or incorrect data from being entered into the system.,Inquired of the GRC Team Contractor regarding edit checks to determine that edit checks were in place to prevent incomplete or incorrect data from being entered into the system.,Update wording to focus on the customer onboarding workbook.
,,,,,Observed the input of information into the in-scope system to determine that edit checks were in place to prevent incomplete or incorrect data from being entered into the system.,
,,,,,Inspected the system edit check configurations to determine that edits checks were in place to prevent incomplete or incorrect data from being entered into the system.,
,49,Communication and Information,CC2.1,"Data flow diagrams, process flowcharts, narratives and procedures manuals are documented and maintained by management to identify the relevant internal and external information sources of the system. ","Inspected the data flow diagrams, process flow charts, narratives and procedures manuals to determine that data flow diagrams, process flowcharts, narratives and procedures manuals were documented and maintained by management to identify the relevant internal and external information sources of the system. ",
,50,Communication and Information,CC2.1,"Data entered into the system, processed by the system and output from the system is protected from unauthorized access.","Inspected the file integrity monitoring (FIM) software configurations, the intrusion detection system (IDS), the encryption methods and configurations for data at rest and in transit, and the virtual private network (VPN) authentication configurations to determine that data entered into the system, processed by the system and output from the system was protected from unauthorized access. ",
,51,Communication and Information,CC2.1,"Data is only retained for as long as required to perform the required system functionality, service, or use. ","Inquired of the GRC Team Contractor regarding data retention to determine that data was only retained for as long as required to perform the required system functionality, service, or use. ",
,,,,,"Inspected the data retention policies and procedures to determine that data was only retained for as long as required to perform the required system functionality, service, or use. ",
,52,Communication and Information,CC2.2,Organizational and information security policies and procedures are documented and made available to personnel through the entity's intranet. ,Inspected the organizational and information security policies and procedures and the entity's intranet to determine that organizational and information security policies and procedures were documented and made available to personnel through the entity's intranet.,
,53,Communication and Information,CC2.2,Roles and responsibilities are defined in written job descriptions and communicated to personnel through the entity's intranet.,Inspected the job description for a sample of job roles and the entity's intranet to determine that roles and responsibilities were defined in written job descriptions and communicated to personnel through the entity's intranet.,
,54,Communication and Information,CC2.2,"The entity's policies and procedures, code of conduct and employee handbook are made available to personnel through the entity's intranet.","Inspected the entity's intranet to determine that the entity's policies and procedures, code of conduct and employee handbook were made available to personnel through the entity's intranet.",
,55,Communication and Information,CC2.2,"Upon hire, personnel are required to read and acknowledge the information security policies and procedures.","Inspected the signed information security policies and procedures acknowledgement for a sample of new hires to determine that upon hire, personnel were required to read and acknowledge the information security policies and procedures.",
,56,Communication and Information,CC2.2,Employees are required to complete security awareness training within 90 days of onboarding.,"Inquired of the GRC Team Contractor regarding onboarding activities to determine that within 90 days of onboarding, personnel were required to complete information security awareness training.",
,,,,,"Inspected the information security awareness training completion form for a sample of new hires to determine that within 90 days of onboarding, personnel were required to complete information security awareness training.",
,57,Communication and Information,CC2.2,Current employees are required to read and acknowledge the information security policies and procedures annually.,Inspected the signed information security policies and procedures acknowledgement for a sample of current employees to determine that current employees were required to read and acknowledge the information security policies and procedures annually.,
,58,Communication and Information,CC2.2,Current employees are required to complete information security awareness training annually.,Inspected the information security awareness training completion form for a sample of current employees to determine that current employees were required to complete information security awareness training annually.,
,59,Communication and Information,CC2.2,Management tracks and monitors compliance with information security and awareness training requirements.,Inspected the information security and awareness training tracker for a sample of current employees to determine that management tracked and monitored compliance with information security and awareness training requirements.,
,60,Communication and Information,CC2.2,"Upon hire, personnel are required to acknowledge the employee handbook and code of conduct.","Inspected the signed employee handbook and code of conduct acknowledgement for a sample of new hires to determine that upon hire, personnel were required to acknowledge the employee handbook and code of conduct.",
,61,Communication and Information,CC2.2,Personnel are required to acknowledge the employee handbook and code of conduct on an annual basis.,Inspected the signed employee handbook and code of conduct acknowledgement for a sample of current employees to determine that personnel were required to acknowledge the employee handbook and code of conduct on an annual basis.,
,62,Communication and Information,CC2.2,Executive management meets annually with operational management to discuss the entity's objectives as well as roles and responsibilities.,Inspected the management meeting minutes to determine that executive management met annually with operational management to discuss the entity's objectives as well as roles and responsibilities.,
,63,Communication and Information,CC2.2,An anonymous reporting channel is available to enable its employees and contractors a means for anonymous or confidential communication of reporting whistleblower events. ,Inspected the anonymous reporting channel to determine that an anonymous reporting channel was available to enable its employees and contractors a means for anonymous or confidential communication of reporting whistleblower events.,
,64,Communication and Information,CC2.2,Changes to job roles and responsibilities are communicated to personnel through the entity's intranet.,Inspected the intranet to determine that changes to job roles and responsibilities were communicated to personnel through the entity's intranet.,
,65,Communication and Information,CC2.2,"Documented escalation procedures for reporting system failures, incidents, concerns, and other complaints are in place and made available to personnel through the entity’s intranet.","Inspected the incident response policies and procedures and the entity’s intranet to determine that documented escalation procedures for reporting system failures, incidents, concerns, and other complaints were in place and made available to personnel through the entity's intranet.",
,66,Communication and Information,CC2.2,"The entity's objectives, including changes made to the objectives, are communicated to its personnel through the entity's intranet.","Inspected the entity's intranet to determine that the entity's objectives, including changes made to the objectives, were communicated to its personnel through the entity's intranet.",
,67,Communication and Information,CC2.2,The entity's third-party agreements delineate the boundaries of the system and describes relevant system components.,Inspected the third-party agreement template to determine that the entity’s third-party agreements delineated the boundaries of the system and described relevant system components.,
,,,,,Inspected the executed third-party agreement for a sample of third parties to determine that the entity’s third-party agreements delineated the boundaries of the system and described relevant system components.,
,68,Communication and Information,CC2.3,The entity's third-party agreements communicate the system commitments and requirements of third parties.,Inspected the third-party agreement template to determine that the entity’s third-party agreements communicated the system commitments and requirements of third parties.,
,,,,,Inspected the executed third-party agreement for a sample of third parties to determine that the entity’s third-party agreements communicated the system commitments and requirements of third parties.,
,69,Communication and Information,CC2.3,"The entity's third-party agreements outline and communicate the terms, conditions and responsibilities of third parties.","Inspected the third-party agreement template to determine that the entity’s third-party agreements outlined and communicated the terms, conditions and responsibilities of third parties.",
,,,,,"Inspected the executed third-party agreement for a sample of third parties to determine that the entity’s third-party agreements outlined and communicated the terms, conditions and responsibilities of third parties.",
,70,Communication and Information,CC2.3,"Customer commitments, requirements and responsibilities are outlined and communicated through service agreements. ","Inspected the customer agreement template to determine that customer commitments, requirements and responsibilities were outlined and communicated through service agreements.",
,,,,,"Inspected the executed agreement for a sample of customers to determine that customer commitments, requirements and responsibilities were outlined and communicated through service agreements.",
,71,Communication and Information,CC2.3,"The entity's contractor agreements outline and communicate the terms, conditions and responsibilities of external users.","Inspected the contractor agreement template to determine that the entity’s contractor agreements outlined and communicated the terms, conditions and responsibilities of external users.",
,72,Communication and Information,CC2.3,"Changes to commitments, requirements and responsibilities are communicated to third parties, external users, and customers via website notices.","Inquired of the GRC Team Contractor regarding changes to commitments, requirements and responsibilities to determine that changes to commitments, requirements and responsibilities were communicated to third parties, external users and customers via website notices.",
,,,,,"Inspected the entity's website to determine that changes to commitments, requirements and responsibilities were communicated to third parties, external users and customers via updated agreements, website notices, or mass notifications.",
,73,Communication and Information,CC2.3,"Documented escalation procedures for reporting system failures, incidents, concerns, and other complaints are in place and shared with external parties.","Inspected the executed third-party agreement for a sample of third parties to determine that documented escalation procedures for reporting failures, incidents, concerns, and other complaints were in place and shared with external parties.",
,74,Communication and Information,CC2.3,Executive management meets annually with operational management to discuss the results of assessments performed by third parties.,Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that executive management met annually with operational management to discuss the results of assessments performed by third parties.,
,75,Communication and Information,CC2.3,"The entity communicates to external parties, vendors and service providers the system commitments and requirements relating to confidentiality and privacy through the use of third-party agreements.","Inspected the third-party agreement template to determine that the entity communicated to external parties, vendors and service providers the system commitments and requirements relating to confidentiality and privacy through the use of third-party agreements.",
,,,,,"Inspected the executed third-party agreement for a sample of third parties to determine that the entity communicated to external parties, vendors and service providers the system commitments and requirements relating to confidentiality and privacy through the use of third-party agreements.",
,76,Communication and Information,CC2.3,"Changes to commitments and requirements relating to confidentiality and privacy are communicated to third parties, external users, and customers via website notices.","Inquired of the GRC Team Contractor regarding changes to commitments and requirements relating to confidentiality and privacy to determine that changes to commitments and requirements relating to confidentiality and privacy were communicated to third parties, external users, and customers via website notices.",
,,,,,"Inspected the entity's website to determine that changes to commitments and requirements relating to confidentiality and privacy were communicated to third parties, external users, and customers via updated agreements, website notices, or mass notifications.",
,77,Risk Assessment,CC3.1,The entity establishes organizational strategies and objectives that are used to determine entity structure and performance metrics.,"Inspected the organizational chart, the employee performance evaluation policies and procedures and the entity's documented objectives and strategies to determine that the entity established organizational strategies and objectives that were used to determine entity structure and performance metrics.",
,78,Risk Assessment,CC3.1,Executive management identifies and assesses risks that could prevent the entity's objectives from being achieved. ,Inspected the risk assessment policies and procedures to determine that executive management identified and assessed risks that could prevent the entity's objectives from being achieved.,
,,,,,Inspected the completed risk assessment to determine that executive management identified and assessed risks that could prevent the entity's objectives from being achieved.,
,79,Risk Assessment,CC3.1,"Executive management reviews policies, procedures and other control documents for alignment to the entity's objectives on an annual basis. ","Inspected the revision history of the entity’s policies and procedures to determine that executive management reviewed policies, procedures and other control documents for alignment to the entity's objectives on an annual basis. ",
,,,,,"Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that executive management reviewed policies, procedures and other control documents for alignment to the entity's objectives on an annual basis. ",
,80,Risk Assessment,CC3.1,Executive management reviews and addresses control failures.,Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that executive management reviewed and addressed control failures.,
,,,,,Inspected the supporting incident ticket for a sample of internal control failures to determine that executive management reviewed and addressed control failures.,
,81,Risk Assessment,CC3.1,"Executive management has established key performance indicators for operational controls effectiveness, including the acceptable level of control operation and failure.","Inspected the key performance indicators for operational controls effectiveness to determine that executive management established key performance indicators for operational and internal controls effectiveness, including the acceptable level of control operation and failure.",
,82,Risk Assessment,CC3.1,Responsible parties are defined and assigned to coordinate and monitor compliance and audit activities.,Inspected the organizational chart and Principal Security GRC Specialist and VP of Information Security job descriptions to determine that responsible parties were defined and assigned to coordinate and monitor compliance and audit activities.,
,83,Risk Assessment,CC3.1,The entity has defined the desired level of performance and operation in order to achieve the established entity objectives. ,Inspected the key performance indicators for operational and internal controls effectiveness to determine that the entity had defined the desired level of performance and operation in order to achieve the established entity objectives. ,
At Risk,84,Risk Assessment,CC3.1,Key performance indicators of both the business performance and employee performance are developed in alignment with entity objectives and strategies.,"Inspected the employee performance evaluation policies and procedures, the entity's documented objectives and strategies and the key performance indicators for business and employee performance to determine that key performance indicators of both the business performance and employee performance were developed in alignment with entity objectives and strategies. ",Need to ensure this is being done annually (Performance Eval Workbook)
,85,Risk Assessment,CC3.1,Business plans and budgets align with the entity's strategies and objectives.,"Inspected the entity's business plans, budgets, and documented objectives and strategies to determine that business plans and budgets aligned with the entity's strategies and objectives.",
,86,Risk Assessment,CC3.1,"Entity strategies, objectives and budgets are assessed on an annual basis.","Inspected the management meeting minutes to determine that entity strategies, objectives and budgets were assessed on an annual basis.",
,87,Risk Assessment,CC3.1,The entity's internal controls framework is based on a recognized SOC and ISO framework.,Inspected the entity’s compliance reports to determine that the entity's internal controls framework was based on a recognized SOC and ISO framework.,
,88,Risk Assessment,CC3.1,"Applicable law, regulation, standard and legislature requirements are identified and integrated into the entity’s strategies and objectives.","Inspected the entity's documented objectives and strategies, policies and procedures related to the relevant statutory, regulatory, legislative and contractual requirements, and the current registry of relevant regulatory, statutory, legislative and contractual requirements to determine that applicable law, regulation, standard and legislature requirements were identified and integrated into the entity’s strategies and objectives.",
,89,Risk Assessment,CC3.1,"Annually, a third party performs an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls is sufficient to mitigate risks to the achievement of business objectives.",Inquired of the GRC Team Contractor to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,,,,,Inspected the internal audit documentation to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,90,Risk Assessment,CC3.2,Documented policies and procedures are in place to guide personnel when performing a risk assessment.,Inspected the risk assessment policies and procedures to determine that documented policies and procedures were in place to guide personnel when performing a risk assessment.,
Update,91,Risk Assessment,CC3.2,"Management has defined a formal risk assessment process that specifies the process for identifying internal and external threats and vulnerabilities, evaluating and addressing risks and defining specified risk tolerances. ","Inspected the risk assessment policies and procedures to determine that management had defined a formal risk assessment process that specified the process for identifying internal and external threats and vulnerabilities, evaluating and addressing risks and defining specified risk tolerances. ",Update RM procedure to refelect how OneTrust is used in the RM process 
,92,Risk Assessment,CC3.2,A formal risk assessment is performed on an annual basis to identify internal and external threats and vulnerabilities that could impair system commitments and requirements.,Inspected the completed risk assessment to determine that a formal risk assessment was performed on an annual basis to identify internal and external threats and vulnerabilities that could impair system commitments and requirements.,
,93,Risk Assessment,CC3.2,"The entity's risk assessment process includes:
•	Identifying the relevant information assets that are critical to business operations
•	Prioritizing the criticality of those relevant information assets
•	Identifying and assessing the impact of the threats to those information assets
•	Identifying and assessing the impact of the vulnerabilities associated with the identified threats
•	Assessing the likelihood of identified threats and vulnerabilities
•	Determining the risks associated with the information assets
•	Addressing the associated risks for each identified vulnerability","Inspected the risk assessment policies and procedures to determine that the entity's risk assessment process included:
•	Identifying the relevant information assets that were critical to business operations
•	Prioritizing the criticality of those relevant information assets
•	Identifying and assessing the impact of the threats to those information assets
•	Identifying and assessing the impact of the vulnerabilities associated with the identified threats
•	Assessing the likelihood of identified threats and vulnerabilities
•	Determining the risks associated with the information assets
•	Addressing the associated risks for each identified vulnerability",
,,,,,"Inspected the completed risk assessment to determine that the entity's risk assessment process included:
•	Identifying the relevant information assets that were critical to business operations
•	Prioritizing the criticality of those relevant information assets
•	Identifying and assessing the impact of the threats to those information assets
•	Identifying and assessing the impact of the vulnerabilities associated with the identified threats
•	Assessing the likelihood of identified threats and vulnerabilities
•	Determining the risks associated with the information assets
•	Addressing the associated risks for eac",
,94,Risk Assessment,CC3.2,Identified risks are rated using a risk evaluation process and ratings are approved by management.,Inspected the risk assessment policies and procedures to determine that identified risks were rated using a risk evaluation process and ratings were approved by management.,
,,,,,Inspected the completed risk assessment to determine that identified risks were rated using a risk evaluation process and ratings were approved by management.,
,95,Risk Assessment,CC3.2,"Risks identified as a part of the risk assessment process are addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk","Inspected the risk assessment policies and procedures to determine that risks identified as a part of the risk assessment process were addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk",
,,,,,"Inspected the completed risk assessment to determine that risks identified as a part of the risk assessment process were addressed using one of the following strategies:
•	Avoid the risk
•	Mitigate the risk
•	Transfer the risk
•	Accept the risk",
,96,Risk Assessment,CC3.2,Management develops risk mitigation strategies to address risks identified during the risk assessment process.,Inspected the risk assessment policies and procedures to determine that management developed risk mitigation strategies to address risks identified during the risk assessment process.,
,,,,,Inspected the completed risk assessment to determine that management developed risk mitigation strategies to address risks identified during the risk assessment process.,
,97,Risk Assessment,CC3.2,"For gaps and vulnerabilities identified from the risk assessment, remediation efforts, including the implementation of controls, are assigned to process owners based on roles and responsibilities.","Inspected the risk assessment policies and procedures to determine that for gaps and vulnerabilities identified from the risk assessment, remediation efforts, including the implementation of controls, were assigned to process owners based on roles and responsibilities.",
